п/п,№,ФИО,ВУЗ/ филиал,ВУЗ/ филиал,Код направления,Группа ООП 2023-2024,Программа ЦК,Группа ЦК,
183,624,6538eb63a04fb531ff864994,ВолгГТУ,ФАСТиВ,27.03.04 Управление в технических системах,АДП-222,СИИ,СИИ-14,
184,153,65395747a04fb531ff866174,ВолгГТУ,ФЭВТ,03.04.02 Физика,Ф-1,РВП,РВП-9,
185,661,6538eb68a04fb531ff864997,ВолгГТУ,ФЭВТ,09.03.01 Информатика и вычислительная техника,ИВТ-262,СИИ,СИИ-1,
186,792,6537e2c1c2f29c6ab8f7c706,ВолгГТУ,ФЭУ,38.03.01 Экономика,ЭФК-359,ПиР_1С,ПИР-11,
187,680,6537e2c5c2f29c6ab8f7c707,ВолгГТУ,ФЭУ,38.03.02 Менеджмент,ЭММ-354,ПиР_1С,ПИР-4,
188,93,6538f818a04fb531ff864f50,ВолгГМУ,фармацевтический,33.05.01 Фармация,401,ППЦП,ППЦП-10,
189,242,6537e2cac2f29c6ab8f7c708,ВолгГТУ,ФТПП,19.04.03 Продукты животного происхождения,ППМ-1,ПиР_1С,ПИР-9,
190,178,6538f81ea04fb531ff864f53,ВПИ,ФЭИ ВПИ,18.04.01 Химическая технология,ВТПЭ-1,ППЦП,ППЦП-2,
191,833,6540af618d4312cf6ca30a11,ИАиС,ФАГР ИАиС,09.03.02 Информационные системы и технологии,ИСТ-2-21,РИС_1С,РИС-3,
192,675,6538f823a04fb531ff864f56,ВолгГТУ,ФТКМ,22.03.01 Материаловедение и технологии материалов,МВ-331,ППЦП,ППЦП-6,
193,11,6537e2cfc2f29c6ab8f7c709,ВолГАУ,инженерно технологический,Бакалавриат/ четверг на военной кафедре /не ставить,ИТФобАИ-202,ПиР_1С,ПИР-6,
194,753,6540af678d4312cf6ca30a12,ВолгГТУ,ФАСТИВ ,27.03.04 Управление в технических системах,МИР-322,РИС_1С,РИС-4,
195,921,6539574ca04fb531ff866177,ВолгГТУ,ФАГР ИАиС,07.03.03 Дизайн архитектурной среды,ДАС-2-21,РВП,РВП-6,
196,179,65395752a04fb531ff866178,ВПИ,ФЭИ ВПИ,18.04.01 Химическая технология,ВТПЭ-1,РВП,РВП-5,
197,39,6537e2d4c2f29c6ab8f7c70a,ВолгГМУ,Менеджмент,38.04.02 Менеджмент,М-202,ПиР_1С,ПИР-11,
198,108,65395757a04fb531ff866179,ВолгГТУ,ХТФ,18.03.01 Химическая технология,ХТ-342,РВП,РВП-2,
199,1070,6539575ba04fb531ff86617a,КТИ,КТИ,"38.03.01 Экономика
        ",КБА-211 св,РВП,РВП-8,
200,464,6537e2d9c2f29c6ab8f7c70c,ВолгГТУ,ФТПП,19.03.03 Продукты питания животного происхождения,ПП-352,ПиР_1С,ПИР-8,
201,16,65393082a04fb531ff865ca5,ВА МВД,подготовки следователей,40.05.02 Правоохранительная деятельность,401,СУБД,СУБД-2,
202,1171,6538f829a04fb531ff864f58,ВолгГТУ,ФАСТиВ,15.03.05 Конструкторско-технологическое обеспечение машиностроительных производств,КТО-224,ППЦП,ППЦП-9,
203,843,6538eb6ca04fb531ff86499a,ИАиС,ФАГР ИАиС,09.03.02 Информационные системы и технологии,ИСТ-2-21,СИИ,СИИ-11,
204,1117,6537d21dc2f29c6ab8f7c382,ИАиС,ФСиЖКХ ИАиС,08.03.01 Строительство,ПГС-3-22,ППСА,ППСА-8,
205,443,65393088a04fb531ff865ca6,ВолгГТУ,ФАТ,23.03.01 Технология транспортных процессов,АТ-314,СУБД,СУБД-3,
206,98,65395761a04fb531ff86617b,ВолгГТУ,ХТФ,18.03.01 Химическая технология,ХТ-243,РВП,РВП-1,
207,877,6539308da04fb531ff865ca7,ВолгГТУ,ФЭУ,38.03.01 Экономика,Э-256,СУБД,СУБД-7,
208,626,65393092a04fb531ff865ca8,ВолгГТУ,ФЭУ,38.03.01 Экономика,Э-256,СУБД,СУБД-7,
209,939,6537d222c2f29c6ab8f7c384,ВолгГТУ,ФТИСиТБ ИАиС,08.03.01 Строительство,ТГВ-1-21,ППСА,ППСА-6,
210,743,6537e2dec2f29c6ab8f7c70d,ВолгГТУ,ФТКМ,15.03.01 Машиностроение,МС-228,ПИР_1С,ПИР-3,
211,701,65393097a04fb531ff865caa,ВолгГТУ,ФЭУ,38.03.01 Экономика,Э-256,СУБД,СУБД-7,
212,679,6537e2e3c2f29c6ab8f7c70e,ВолгГТУ,ФЭУ,38.03.02 Менеджмент,ЭММ-354,ПиР_1С,ПИР-4,
,19,6538f82ea04fb531ff864f5c,ВолгГМУ,медико-биологический,,604,ППЦП,ППЦП-11,
213,504,65395765a04fb531ff86617c,КТИ,КТИ,13.03.02 Электроэнергетика и электротехника,КЭЛ-201,РВП,РВП-8,
215,299,6537d227c2f29c6ab8f7c386,ВолгГТУ,ФАГР ИАиС,07.03.01 Архитектура,АРХ-3-21,ППСА,ППСА-1,
216,117,6539576aa04fb531ff86617e,ВолгГТУ,ХТФ,18.03.01 Химическая технология,ХТ-249,РВП,РВП-1,
217,878,6540af6c8d4312cf6ca30a13,ВолгГТУ,ФАСТиВ,27.03.04 Управление в технических системах,УТС-220,РИС_1С,РИС-4,
218,233,6537e2e8c2f29c6ab8f7c70f,ВолгГТУ,ХТФ,"18.03.02 Энерго- и ресурсосберегающие процессы в химической технологии, нефтехимии и биотехнологии",РХТ-448,ПиР_1С,ПИР-5,
219,164,6538f838a04fb531ff864f63,ВПИ,ФАМ ВПИ,15.03.04 Автоматизация технологических процессов и производств,ВАУ-326,ППЦП,ППЦП-1,
220,202,6537e2eec2f29c6ab8f7c710,ИАИС,ФАГР ИАиС,07.03.03 Дизайн архитектурной среды ,ДАС-2-19,ПиР_1С,ПИР-8,
221,707,6538eb71a04fb531ff86499d,ВолгГТУ,ФЭВТ,09.03.01 Информатика и вычислительная техника,ИВТ-260,СИИ,СИИ-5,
222,940,6537d22cc2f29c6ab8f7c387,ВолгГТУ,ФТИСиТБ ИАиС,08.03.01 Строительство,ТГВ-1-21,ППСА,ППСА-6,
223,140,6539576ea04fb531ff86617f,ВПИ,ФЭИ ВПИ,38.04.01 Экономика,ВЭМ-2,РВП,РВП-5,
224,54,6538f83ca04fb531ff864f65,ВолгГМУ,,31.05.01 Лечебное дело,16,ППЦП,ППЦП-10,
225,96,6538f841a04fb531ff864f67,ВолгГТУ,ХТФ,18.03.01 Химическая технология,ХТ-344,ППЦП,ППЦП-8,
226,222,6537e2f3c2f29c6ab8f7c711,ВолгГТУ,ФЭВТ,03.04.02 Физика,Ф-1,ПиР_1С,ПИР-3,
227,1146,6537d232c2f29c6ab8f7c38a,ВолгГТУ,ФТИСиТБ ИАиС,08.03.01 Строительство,АД-1-21,ППСА,ППСА-9,
228,1172,6538f845a04fb531ff864f68,ВолгГТУ,ФАСТиВ,15.03.05 Конструкторско-технологическое обеспечение машиностроительных производств,КТО-324,ППЦП,ППЦП-9,
229,151,65395778a04fb531ff866181,ВолгГТУ,ФЭВТ,03.03.02 Физика,Ф-269,РВП,РВП-9,
230,28,6538eb76a04fb531ff8649a0,ВолгГТУ,ФЭВТ,09.03.01 Информатика и вычислительная техника,ИВТ-262,СИИ,СИИ-1,
231,599,6537d237c2f29c6ab8f7c38b,ИАиС,ФТИСиТБ ИАиС,08.03.01 Строительство,АД-1-20,ППСА,ППСА-1,
232,941,6537d23cc2f29c6ab8f7c38d,ВолгГТУ,ФТИСиТБ ИАиС,20.03.01 Техносферная безопастность,ТБ-2-21,ППСА,ППСА-6,
233,730,6540af718d4312cf6ca30a16,ВолгГТУ,ФЭУ,38.03.05 Бизнес-информатика,БИ-363,РИС_1С,РИС-2,
234,325,6537e2f8c2f29c6ab8f7c712,ВолгГТУ,ФТПП,19.03.03 Продукты питания животного происхождения,ПП-251,ПиР_1С,ПИР-9,
235,728,653be54fe189abe05fdf82b2,ВолгГТУ,ФЭУ,38.03.05 Бизнес-информатика,БИ-363,РИС_1С,РИС-2,
236,116,6539577da04fb531ff866182,ВолгГТУ,ХТФ,18.03.01 Химическая технология,ХТ-249,РВП,РВП-1,
237,692,632d8f146a264363174e23f4,ВолгГТУ,ФТКМ,15.03.01 Машиностроение,МС-329,ППЦП,ППЦП-5,
238,1022,6538eb7ba04fb531ff8649a3,ВолгГТУ,ФЭВТ,09.03.04 Программная инженерия ,ПрИн-266,СИИ,СИИ-2,
239,1088,6539309ca04fb531ff865cac,ВолгГТУ,ФАТ,23.03.01 Технология транспортных процессов,АТ-216,СУБД,СУБД-4,
240,913,6540af7a8d4312cf6ca30a19,ВолгГТУ,ФЭВТ,09.03.01 Информатика и вычислительная техника,ИВТ-260,РИС_1С,РИС-1,
241,482,6538eb80a04fb531ff8649a7,КТИ,КТИ,09.03.01 Информатика и вычислительная техника,КВТ-211,СИИ,СИИ-9,
242,581,6537d242c2f29c6ab8f7c390,ИАиС,ФТИСиТБ ИАиС,08.03.01 Строительство,АД-1-22,ППСА,ППСА-1,
243,355,6538f84ea04fb531ff864f6e,ВПИ,ФЭИ ВПИ,15.03.04 Автоматизация технологических процессов и производств,ВАУ-226,ППЦП,ППЦП-1,
244,246,6538f853a04fb531ff864f71,ВолгГТУ,ФТКМ,22.04.01 Материаловедение и технологии материалов,МВ-2н,ППЦП,ППЦП-7,
245,1190,6537d247c2f29c6ab8f7c391,ВолгГТУ,ФСиЖКХ ИАиС,08.03.01 Строительство,ПГС-1-20,ППСА,ППСА-10,
246,362,6538eb86a04fb531ff8649aa,ВПИ,ФЭИ ВПИ,09.03.01 Информатика и вычислительная техника,ВВТ-406,СИИ,СИИ-3,
247,374,6537d24dc2f29c6ab8f7c393,ИАиС,ФТИСиТБ ИАиС,20.05.01 Пожарная безопасность,ПБ-1-19,ППСА,ППСА-7,
248,942,6537d252c2f29c6ab8f7c397,ВолгГТУ,ФТИСиТБ ИАиС,08.03.01 Строительство,ТГВ-1-21,ППСА,ППСА-6,
249,1191,6537d258c2f29c6ab8f7c399,ВолгГТУ,ФСиЖКХ ИАиС,08.03.01 Строительство,ПГС-3-20,ППСА,ППСА-10,
250,317,6538f858a04fb531ff864f74,ВолгГТУ,ФТКМ,15.04.01 машиностроение,СП-2П,ППЦП,ППЦП-7,
251,33,6537e2fcc2f29c6ab8f7c713,ВолГАУ,,Бакалавриат,ИТФзбТБ331,ПиР_1С,ПИР-11,
252,714,653930a2a04fb531ff865cae,ВолгГТУ,ФЭУ,38.03.01 Экономика,ЭПР-458,СУБД,СУБД-6,
254,844,6538eb8ba04fb531ff8649ad,ИАиС,ФАГР ИАиС,09.03.02 Информационные системы и технологии,ИСТ-1-20,СИИ,СИИ-12,
255,23,653930aba04fb531ff865cb0,ВА МВД,подготовки следователей,40.05.01 Правовое обеспечение национальной безопасности,401,СУБД,СУБД-2,
256,646,6537e302c2f29c6ab8f7c714,ВолгГТУ,ФАТ,23.05.01 Наземные транспортно-технологические средства,АТС-311,ПиР_1С,ПИР-2,
257,122,65395782a04fb531ff866183,ВолгГТУ,ХТФ,"18.04.02 Энерго- и ресурсосберегающие процессы в химической технологии, нефтехимии и биотехнологии",ХМАМ-2п,РВП,РВП-3,
258,1173,6538f85da04fb531ff864f77,ВолгГТУ,ФАСТиВ,,АТП-2,ППЦП,ППЦП-9,
260,414,6537e307c2f29c6ab8f7c716,ВолгГТУ,ФТКМ,22.03.02 Металлургия,М-333,ПиР_1С,ПИР-10,
261,,65395787a04fb531ff866184,ВолГАУ,,,ИтФомАИ232,РВП,РВП-4,
262,1003,6539578ca04fb531ff866185,ВолгГТУ,ФСиЖКХ ИАиС,08.03.01 Строительство,ПГС-2-22,РВП,РВП-6,
263,5,653930b1a04fb531ff865cb3,ВА МВД,подготовки следователей,40.05.01 Правовое обеспечение национальной безопасности,304,СУБД,СУБД-1,
264,331,6538eb8fa04fb531ff8649b2,СФ,СФ,09.03.02 Информационные системы и технологии,ИСТ-21д-22,СИИ,СИИ-10,
265,643,6538eb94a04fb531ff8649b5,ВолгГТУ,ФЭВТ,09.03.01 Информатика и вычислительная техника,ИВТ-262,СИИ,СИИ-1,
266,898,6537e30cc2f29c6ab8f7c718,ВолгГТУ,ФТКМ,22.03.01 Материаловедение и технологии материалов,МВ-231,ПиР_1С,ПИР-3,
267,520,6538eb99a04fb531ff8649b9,СФ,СФ,09.03.02 Информационные системы и технологии,ИСТ-31д-21,СИИ,СИИ-10,
269,27,653930b6a04fb531ff865cb7,ВА МВД,подготовки экспертов-криминалистов и оперативных сотрудников полиции (ФПЭК и ОСП),40.05.02 Правоохранительная деятельность,441,СУБД,СУБД-2,
270,36,6537e311c2f29c6ab8f7c71a,ВА МВД,подготовки экспертов-криминалистов и оперативных сотрудников полиции (ФПЭК и ОСП),40.05.03 Судебная экспертиза,321,ПиР_1С,ПИР-10,
271,372,653930bba04fb531ff865cb8,ВолгГТУ,ФТПП,19.03.03 Продукты питания животного происхождения,ПП-351,СУБД,СУБД-5,
272,388,6537e316c2f29c6ab8f7c71c,ВолгГТУ,ФТПП,"18.04.02 Энерго- и ресурсосберегающие процессы в химической технологии, нефтехимии и биотехнологии",ЭКОМ-1,ПиР_1С,ПИР-9,
273,131,65395791a04fb531ff866186,ВолгГТУ,ФПИК,38.04.08 Финансы и кредит,ВКФ-2,РВП,РВП-4,
274,593,6537d25ec2f29c6ab8f7c39c,ИАиС,ФТИСиТБ ИАиС,08.03.01 Строительство,ВиВ-1-20,ППСА,ППСА-3,
276,1130,6537d263c2f29c6ab8f7c39e,ИАиС,ФСиЖКХ ИАиС,08.03.01 Строительство,ПГС-4-22,ППСА,ППСА-8,
277,189,653930c0a04fb531ff865cb9,ВолгГТУ,ФЭУ,38.03.01 Экономика,ЭФК-359,СУБД,СУБД-4,
279,476,6538eb9ea04fb531ff8649bc,КТИ,КТИ,09.03.01 Информатика и вычислительная техника,КВТ-201,СИИ,СИИ-9,
280,943,6537d269c2f29c6ab8f7c3a1,ВолгГТУ,ФТИСиТБ ИАиС,20.05.01 Пожарная безопасность,Пб-1-20,ППСА,ППСА-7,
281,1174,6538f862a04fb531ff864f79,ВолгГТУ,ФАСТиВ,15.03.05 Конструкторско-технологическое обеспечение машиностроительных производств,КТО-224,ППЦП,ППЦП-9,
282,607,65395796a04fb531ff866187,ВПИ,ФЭИ ВПИ,38.03.01 Экономика,ВЭ-211,РВП,РВП-5,
283,845,6538eba3a04fb531ff8649bf,ИАиС,ФАГР ИАиС,09.03.02 Информационные системы и технологии,ИСТ-1-20,СИИ,СИИ-12,
284,11,653930c5a04fb531ff865cba,ВА МВД,подготовки экспертов-криминалистов и оперативных сотрудников полиции (ФПЭК и ОСП),40.05.02 Правоохранительная деятельность,441,СУБД,СУБД-2,
285,334,6537e31bc2f29c6ab8f7c71e,ИАиС,ФТИСиТБ ИАиС,20.05.01 Пожарная безопасность,ПБ-1-19,ПиР_1С,ПИР-7,
286,252,6538f866a04fb531ff864f7c,ВолгГТУ,ФТКМ,22.03.02 Металлургия,М-233,ППЦП,ППЦП-3,
287,944,6537d26ec2f29c6ab8f7c3a4,ВолгГТУ,ФТИСиТБ ИАиС,20.05.01 Пожарная безопасность,Пб-1-20,ППСА,ППСА-7,
288,3,6400ecb7c07eb09adb0ade63,ВолГАУ,Биотехнологий  и ветеринарной медицины,36.03.02 Зоотехния,БВМомЗОО221,РВП,РВП-4,
289,1084,653a2e1231e2da38f4e25427,ВолгГТУ,ФТПП,15.03.02 Технологические машины и оборудование,МАП-450,СУБД,СУБД-5,
290,31,653930d0a04fb531ff865cbb,ВА МВД,подготовки иностранных специалистов,40.05.03 Судебная экспертиза,525,СУБД,СУБД-1,
291,40,6538eba9a04fb531ff8649c2,ВолгГТУ,ФЭВТ,09.03.01 Информатика и вычислительная техника,ИВТ-263,СИИ,СИИ-8,
292,681,6537e320c2f29c6ab8f7c71f,ВолгГТУ,ФЭУ,38.03.02 Менеджмент,ЭММ-354,ПиР_1С,ПИР-4,
293,302,6537d273c2f29c6ab8f7c3a6,ВолгГТУ,ФАГР ИАиС,07.03.01 Архитектура,Арх-3-20,ППСА,ППСА-1,
294,834,653b9733ae6c19d5ddcb7f65,ИАиС,ФАГР ИАиС,09.03.02 Информационные системы и технологии,ИСТ-2-21,РИС_1С,РИС-3,
295,225,6537e325c2f29c6ab8f7c720,ВолгГТУ,ХТФ,18.04.01 Химическая технология,СХТМ-2.4п,ПиР_1С,ПИР-1,
296,548,6540af858d4312cf6ca30a1d,ВолгГТУ,ФЭУ,09.03.03 Прикладная информатика,ЭП-462,РИС_1С,РИС-3,
297,351,6537e32ac2f29c6ab8f7c722,ВолгГТУ,ФЭУ,38.03.01 Экономика,Э-256,ПиР_1С,ПИР-5,
298,50,6538ebaea04fb531ff8649c6,ВПИ,ФЭИ ВПИ,09.03.01 Информатика и вычислительная техника,ВВТ-206,СИИ,СИИ-3,
